date,credit_history,collateral,loan_repayment_status
2023-01-01,Good,High,1
2023-01-02,Fair,Low,0
2023-01-03,Excellent,Medium,1
2023-01-04,Fair,Medium,0
2023-01-05,Good,High,1
2023-01-06,Poor,Low,0
2023-01-07,Excellent,High,1
2023-01-08,Good,Medium,1
2023-01-09,Excellent,High,1
2023-01-10,Fair,Low,0
2023-01-11,Good,Medium,1
2023-01-12,Excellent,High,1
2023-01-13,Fair,Low,0
2023-01-14,Good,Medium,1
2023-01-15,Excellent,High,1
2023-01-16,Fair,Low,0
2023-01-17,Good,Medium,1
2023-01-18,Excellent,High,1
2023-01-19,Fair,Low,0
2023-01-20,Good,Medium,1
2023-01-21,Excellent,High,1
2023-01-22,Fair,Low,0
2023-01-23,Good,Medium,1
2023-01-24,Excellent,High,1
2023-01-25,Fair,Low,0
2023-01-26,Good,Medium,1
2023-01-27,Excellent,High,1
2023-01-28,Fair,Low,0
2023-01-29,Good,Medium,1
2023-01-30,Excellent,High,1
2023-01-31,Fair,Low,0
2023-02-01,Good,Medium,1
2023-02-02,Excellent,High,1
2023-02-03,Fair,Low,0
2023-02-04,Good,Medium,1
2023-02-05,Excellent,High,1
2023-02-06,Fair,Low,0
2023-02-07,Good,Medium,1
2023-02-08,Excellent,High,1
2023-02-09,Fair,Low,0
2023-02-10,Good,Medium,1
2023-02-11,Excellent,High,1
2023-02-12,Fair,Low,0
2023-02-13,Good,Medium,1
2023-02-14,Excellent,High,1
2023-02-15,Fair,Low,0
2023-02-16,Good,Medium,1
2023-02-17,Excellent,High,1
2023-02-18,Fair,Low,0
2023-02-19,Good,Medium,1
2023-02-20,Excellent,High,1
2023-02-21,Fair,Low,0
2023-02-22,Good,Medium,1
2023-02-23,Excellent,High,1
2023-02-24,Fair,Low,0
2023-02-25,Good,Medium,1
2023-02-26,Excellent,High,1
2023-02-27,Fair,Low,0
2023-02-28,Good,Medium,1
2023-03-01,Excellent,High,1
2023-03-02,Fair,Low,0
2023-03-03,Good,Medium,1
2023-03-04,Excellent,High,1
2023-03-05,Fair,Low,0
2023-03-06,Good,Medium,1
2023-03-07,Excellent,High,1
2023-03-08,Fair,Low,0
2023-03-09,Good,Medium,1
2023-03-10,Excellent,High,1
2023-03-11,Fair,Low,0
2023-03-12,Good,Medium,1
2023-03-13,Excellent,High,1
2023-03-14,Fair,Low,0
2023-03-15,Good,Medium,1
2023-03-16,Excellent,High,1
2023-03-17,Fair,Low,0
2023-03-18,Good,Medium,1
2023-03-19,Excellent,High,1
2023-03-20,Fair,Low,0
2023-03-21,Good,Medium,1
2023-03-22,Excellent,High,1
2023-03-23,Fair,Low,0
2023-03-24,Good,Medium,1
2023-03-25,Excellent,High,1
2023-03-26,Fair,Low,0
2023-03-27,Good,Medium,1
2023-03-28,Excellent,High,1
2023-03-29,Fair,Low,0
2023-03-30,Good,Medium,1
2023-03-31,Excellent,High,1
2023-04-01,Fair,Low,0
2023-04-02,Good,Medium,1
2023-04-03,Excellent,High,1
2023-04-04,Fair,Low,0
2023-04-05,Good,Medium,1
2023-04-06,Excellent,High,1
2023-04-07,Fair,Low,0
2023-04-08,Good,Medium,1
2023-04-09,Excellent,High,1
2023-04-10,Fair,Low,0